Année scolaire 2025-2026,,,,,,,,,,,,,
,,,,Emploi  du  temps  SIO 2 (SISR),,,,,,,,,
Version du 09/12/2025,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,08h30-09h30,09h30-10h30,10h30-11h30,11h30-12h30,12h30-13h30,13h30-14h30,14h30-15h30,15h30-16h30,16h30-17h30,
Jeu.,22,Janv.,2026,ÉCRIT E4 - CEJM - E. TABONI (4H),,,,,ÉCRIT E3 - MATHS - G. ANKRI (2H),,,,
Lun.,26,Janv.,2026,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
Mar.,27,Janv.,2026,E3 - Mathématique pour l'informatique - G. ANKRI,,,,,E1 - Culture générale et expression - L. GIRAUD ,,,,
Lun.,2,Fév.,2026,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
Mar.,3,Fév.,2026,E4 - CEJM - E. TABONI,,,,,E7 - Cybersécurité - C.TIXIER,,,,
Lun.,9,Fév.,2026,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,E2 - Anglais - J. CERNIS,,,,CONSEIL DE CLASSE
Mar.,10,Fév.,2026,E3 - Mathématique pour l'informatique - G. ANKRI,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
Lun.,16,Fév.,2026,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
Mar.,17,Fév.,2026,E4 - CEJM - E. TABONI,,,,,E1 - Culture générale et expression - L. GIRAUD ,,,,
Lun.,23,Fév.,2026,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h30),,,
Mar.,24,Fév.,2026,E4 - CEJM - E. TABONI,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
Lun.,2,Mars,2026,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
Mar.,3,Mars,2026,E4 - CEJM - E. TABONI,,,,,E7 - Cybersécurité - C.TIXIER,,,,
Lun.,9,Mars,2026,E7 - Cybersécurité - A.BRES,,,,,E2 - Anglais - J. CERNIS,,,,
Mar.,10,Mars,2026,E4 - CEJM - E. TABONI,,,,,E1 - Culture générale et expression - L. GIRAUD ,,,,
Lun.,16,Mars,2026,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,E2 - Anglais - J. CERNIS,,,,
Mar.,17,Mars,2026,E4 - CEJM - E. TABONI,,,,,E7 - Cybersécurité - C.TIXIER,,,,
Mer.,18,Mars,2026,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
Lun.,23,Mars,2026,E7 - Cybersécurité - A.BRES,,,,,E2 - Anglais - J. CERNIS,,,,
Mar.,24,Mars,2026,E3 - Mathématique pour l'informatique - G. ANKRI,,,,,E1 - Culture générale et expression - L. GIRAUD ,,,,
Lun.,30,Mars,2026,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
Mar.,31,Mars,2026,E4 - CEJM - E. TABONI,,,,,E7 - Cybersécurité - C.TIXIER,,,,
Lun.,6,Avr.,2026,FÉRIÉ / ENTREPRISE,,,,,,,,,
Mar.,7,Avr.,2026,E3 - Mathématique pour l'informatique - G. ANKRI,,,,,E1 - Culture générale et expression - L. GIRAUD ,,,,
Lun.,13,Avr.,2026,BTS BLANC S4,,,,,BTS BLANC S4,,,,
Mar.,14,Avr.,2026,BTS BLANC S4,,,,,BTS BLANC S4,,,,
Mer.,15,Avr.,2026,BTS BLANC S4,,,,,BTS BLANC S4,,,,
Jeu.,16,Avr.,2026,BTS BLANC S4,,,,,BTS BLANC S4,,,,
Lun.,20,Avr.,2026,E7 - Cybersécurité - A.BRES,,,,,E2 - Anglais - J. CERNIS,,,,
Mar.,21,Avr.,2026,E4 - CEJM - E. TABONI,,,,,E1 - Culture générale et expression - L. GIRAUD ,,,,
Lun.,27,Avr.,2026,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,CONSEIL DE CLASSE
Mar.,28,Avr.,2026,E3 - Mathématique pour l'informatique - G. ANKRI,,,,,E7 - Cybersécurité - C.TIXIER,,,,
Lun.,4,Mai,2026,E7 - Cybersécurité - A.BRES,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
Mar.,5,Mai,2026,E3 - Mathématique pour l'informatique - G. ANKRI,,,,,E7 - Cybersécurité - C.TIXIER,,,,
Lun.,18,Mai,2026,,,,,,,Épreuve finale : CEJM (4H) 14h-18h,,,
Mar.,19,Mai,2026,,,Épreuve finale : LV1 (2H) 10h30-12h30,,,,Épreuve finale : Culture générale et expression (3H) 14h30-17h30,,,
